epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
150,642.898,1.33251,1.176,0.01595,0.70514,0.63307,0.6948,0.402,1.47979,1.43837,0.03053,0.00076245,0.00076245,0.00076245
151,647.124,1.32163,1.14277,0.01711,0.82892,0.60196,0.71816,0.40984,1.4791,1.32252,0.03039,0.0007575,0.0007575,0.0007575
152,651.663,1.32592,1.09326,0.01682,0.85255,0.60499,0.71994,0.41123,1.48792,1.32088,0.03018,0.00075255,0.00075255,0.00075255
153,655.88,1.30907,1.10758,0.01625,0.77704,0.60142,0.69597,0.41991,1.42772,1.3494,0.02842,0.0007476,0.0007476,0.0007476
154,660.312,1.32976,1.14299,0.0171,0.7581,0.65472,0.69423,0.41377,1.49874,1.4087,0.03012,0.00074265,0.00074265,0.00074265
155,664.544,1.33891,1.12271,0.01684,0.7725,0.61558,0.7027,0.40718,1.52287,1.31519,0.03096,0.0007377,0.0007377,0.0007377
156,669.021,1.2914,1.14871,0.01664,0.73016,0.67071,0.71359,0.41083,1.5035,1.31089,0.03031,0.00073275,0.00073275,0.00073275
157,673.549,1.31814,1.18068,0.01709,0.76819,0.56682,0.66968,0.38879,1.53221,1.40401,0.03099,0.0007278,0.0007278,0.0007278
158,678.028,1.31446,1.14077,0.01645,0.78094,0.62024,0.69717,0.39526,1.5445,1.37243,0.03154,0.00072285,0.00072285,0.00072285
159,682.184,1.29451,1.12339,0.01625,0.76304,0.60878,0.68037,0.39963,1.56504,1.42933,0.03182,0.0007179,0.0007179,0.0007179
160,686.473,1.30705,1.18485,0.01694,0.77305,0.6134,0.69649,0.40696,1.5913,1.29381,0.03295,0.00071295,0.00071295,0.00071295
161,690.8,1.30402,1.16432,0.01722,0.75085,0.59735,0.66302,0.38949,1.56997,1.35977,0.03292,0.000708,0.000708,0.000708
162,694.802,1.27165,1.09437,0.01603,0.72473,0.59335,0.67083,0.38299,1.61523,1.35117,0.03356,0.00070305,0.00070305,0.00070305
163,698.991,1.26141,1.09341,0.0162,0.74903,0.63148,0.70094,0.39464,1.61334,1.34375,0.03498,0.0006981,0.0006981,0.0006981
164,703.361,1.31147,1.13179,0.01651,0.73966,0.64232,0.67497,0.38604,1.62496,1.40113,0.03417,0.00069315,0.00069315,0.00069315
165,707.374,1.29747,1.07904,0.01749,0.74975,0.66987,0.70833,0.41592,1.56566,1.21244,0.03217,0.0006882,0.0006882,0.0006882
