epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,234.912,1.39441,1.0722,0.01671,0.78148,0.58878,0.66194,0.32868,1.57564,1.37444,0.03099,0.0010842,0.0010842,0.0010842
86,237.446,1.41163,1.12535,0.01824,0.70479,0.53875,0.63137,0.31776,1.68271,1.38688,0.03447,0.00107925,0.00107925,0.00107925
87,240.341,1.41094,1.0836,0.01681,0.5881,0.62091,0.58419,0.30644,1.60428,1.42384,0.03188,0.0010743,0.0010743,0.0010743
88,242.766,1.35664,1.06046,0.01812,0.69784,0.56518,0.57873,0.29026,1.8258,1.3592,0.0398,0.00106935,0.00106935,0.00106935
89,245.181,1.36423,1.07394,0.01676,0.6909,0.58697,0.60544,0.29104,1.82208,1.28673,0.03992,0.0010644,0.0010644,0.0010644
90,247.653,1.40535,1.12444,0.01796,0.61754,0.62552,0.60534,0.25262,2.0441,1.35066,0.04571,0.00105945,0.00105945,0.00105945
91,250.222,1.36693,1.03281,0.01564,0.77215,0.58681,0.63295,0.32674,1.77219,1.3321,0.03882,0.0010545,0.0010545,0.0010545
92,252.725,1.36807,1.09521,0.01765,0.70405,0.63985,0.64494,0.31892,1.80706,1.37137,0.03782,0.00104955,0.00104955,0.00104955
93,255.528,1.39783,1.06509,0.01782,0.73393,0.63517,0.64405,0.31712,1.68838,1.35953,0.03386,0.0010446,0.0010446,0.0010446
94,257.861,1.38832,1.0134,0.01811,0.76386,0.57378,0.62293,0.31954,1.66474,1.31281,0.03502,0.00103965,0.00103965,0.00103965
95,260.366,1.36163,1.05095,0.01683,0.72968,0.60037,0.6097,0.28523,1.75054,1.37159,0.03535,0.0010347,0.0010347,0.0010347
96,262.906,1.3135,0.94722,0.01502,0.59936,0.59046,0.56618,0.28985,1.83637,1.29187,0.03813,0.00102975,0.00102975,0.00102975
97,265.469,1.34102,1.02913,0.01611,0.77611,0.49767,0.59777,0.31057,1.81134,1.44753,0.03733,0.0010248,0.0010248,0.0010248
98,268.268,1.36079,1.00886,0.01639,0.71414,0.55224,0.60473,0.30095,1.79335,1.37173,0.03593,0.00101985,0.00101985,0.00101985
99,270.761,1.41464,1.03219,0.01766,0.73863,0.66747,0.67279,0.32389,1.8794,1.339,0.04161,0.0010149,0.0010149,0.0010149
100,273.233,1.33817,1.00595,0.01596,0.70943,0.62439,0.60431,0.32534,1.74459,1.38489,0.03666,0.00100995,0.00100995,0.00100995
101,275.654,1.33209,0.99115,0.01591,0.76502,0.56122,0.6303,0.34643,1.70449,1.30662,0.03672,0.001005,0.001005,0.001005
102,278.168,1.2965,0.97243,0.01532,0.62818,0.62979,0.60249,0.33886,1.67134,1.31554,0.03502,0.00100005,0.00100005,0.00100005
103,280.908,1.31526,0.95826,0.0154,0.62397,0.60277,0.5433,0.27934,1.74493,1.39887,0.03694,0.0009951,0.0009951,0.0009951
104,283.442,1.40517,1.03162,0.01695,0.55995,0.60508,0.52388,0.25918,1.79984,1.49474,0.03958,0.00099015,0.00099015,0.00099015
105,286.041,1.34521,0.97853,0.0163,0.77121,0.52614,0.59406,0.2884,1.8329,1.44265,0.03848,0.0009852,0.0009852,0.0009852
106,288.635,1.36769,1.00699,0.01658,0.67103,0.61132,0.64222,0.31186,1.83758,1.31684,0.03924,0.00098025,0.00098025,0.00098025
107,291.194,1.39567,1.05562,0.01714,0.65881,0.54597,0.57309,0.28294,1.77251,1.41411,0.03595,0.0009753,0.0009753,0.0009753
108,293.97,1.30125,1.03977,0.01563,0.68935,0.56089,0.58943,0.28653,1.71981,1.33442,0.03454,0.00097035,0.00097035,0.00097035
109,296.349,1.33643,1.03261,0.01737,0.73651,0.57096,0.58708,0.2966,1.64322,1.37835,0.03397,0.0009654,0.0009654,0.0009654
110,298.711,1.35039,1.03074,0.01543,0.67543,0.63119,0.58214,0.30382,1.70545,1.43764,0.03622,0.00096045,0.00096045,0.00096045
111,301.167,1.27357,0.92151,0.01477,0.70919,0.59197,0.61306,0.30052,1.67478,1.4334,0.03371,0.0009555,0.0009555,0.0009555
112,303.623,1.34132,0.95967,0.01605,0.78707,0.57003,0.65097,0.33923,1.67829,1.38471,0.03351,0.00095055,0.00095055,0.00095055
113,306.147,1.32052,0.90397,0.01587,0.7643,0.61505,0.6723,0.32063,1.73924,1.30819,0.03455,0.0009456,0.0009456,0.0009456
114,308.94,1.2713,0.97254,0.01487,0.71614,0.69736,0.66586,0.31107,1.72439,1.30089,0.03524,0.00094065,0.00094065,0.00094065
115,311.414,1.32756,0.94754,0.01642,0.70758,0.62288,0.6651,0.32235,1.71989,1.35359,0.03419,0.0009357,0.0009357,0.0009357
116,313.89,1.27756,0.96985,0.01548,0.7474,0.6236,0.65899,0.31517,1.76988,1.28799,0.03599,0.00093075,0.00093075,0.00093075
117,316.393,1.27674,0.92511,0.01542,0.67859,0.62605,0.62175,0.30842,1.68551,1.41809,0.03406,0.0009258,0.0009258,0.0009258
118,318.915,1.2553,0.97538,0.01528,0.72481,0.61007,0.64798,0.33326,1.6541,1.33306,0.0327,0.00092085,0.00092085,0.00092085
119,321.595,1.30586,1.00959,0.01577,0.81217,0.60691,0.6926,0.35443,1.61255,1.30568,0.03174,0.0009159,0.0009159,0.0009159
120,324.189,1.266,0.92704,0.01532,0.73805,0.60912,0.64917,0.37188,1.488,1.22576,0.02982,0.00091095,0.00091095,0.00091095
121,326.815,1.27549,0.91172,0.01541,0.71512,0.64691,0.66341,0.35785,1.5644,1.18691,0.03148,0.000906,0.000906,0.000906
122,329.371,1.26598,0.97455,0.01661,0.70851,0.6606,0.65477,0.35036,1.62909,1.29769,0.03237,0.00090105,0.00090105,0.00090105
123,331.973,1.27076,0.95038,0.01519,0.74324,0.64566,0.66877,0.36,1.6532,1.38698,0.03317,0.0008961,0.0008961,0.0008961
124,334.844,1.29854,0.95819,0.01587,0.67565,0.63346,0.62388,0.33677,1.66007,1.29392,0.03414,0.00089115,0.00089115,0.00089115
125,337.272,1.27092,0.9113,0.01573,0.83084,0.60599,0.66099,0.3398,1.603,1.3565,0.03285,0.0008862,0.0008862,0.0008862
126,339.61,1.26871,0.93683,0.01535,0.8201,0.62185,0.68137,0.3493,1.56694,1.3477,0.03219,0.00088125,0.00088125,0.00088125
127,342.06,1.23369,0.89936,0.01436,0.75231,0.60286,0.65354,0.34547,1.56705,1.36521,0.03136,0.0008763,0.0008763,0.0008763
